Durchlauf,Dauer in ms,PS Scavenge Collections,PS Scavenge Zeit,PS MarkSweep Collections,PS MarkSweep Zeit
1,625,1,95,0,0
2,521,0,0,0,0
3,561,0,0,0,0
4,550,0,0,0,0
5,535,0,0,0,0
6,613,1,88,0,0
7,531,0,0,0,0
8,533,0,0,0,0
9,535,0,0,0,0
10,543,0,0,0,0
11,540,1,15,0,0
12,534,0,0,0,0
13,530,0,0,0,0
14,538,0,0,0,0
15,605,0,0,0,0
16,554,0,0,0,0
17,594,0,0,0,0
18,639,1,71,0,0
19,532,0,0,0,0
20,550,0,0,0,0
21,532,0,0,0,0
22,544,0,0,0,0
23,542,0,0,0,0
24,542,0,0,0,0
25,534,0,0,0,0
26,747,1,91,1,134
27,544,0,0,0,0
28,553,0,0,0,0
29,533,0,0,0,0
30,536,0,0,0,0
31,535,0,0,0,0
32,538,0,0,0,0
33,543,0,0,0,0
34,576,0,0,0,0
35,609,0,0,0,0
36,597,0,0,0,0
37,595,0,0,0,0
38,605,1,57,0,0
39,546,0,0,0,0
40,533,0,0,0,0
41,614,0,0,0,0
42,549,0,0,0,0
43,531,0,0,0,0
44,545,0,0,0,0
45,533,0,0,0,0
46,532,0,0,0,0
47,547,0,0,0,0
48,536,0,0,0,0
49,535,0,0,0,0
50,594,1,64,0,0
